Sample_ID,Depth,MS25,MS50,MS75,Weighted_EMF,SOC,Amino sugars,BG,NAG,MUP,Available N,Available P,NPP,NDVI,Pathogen_control,Bacteria_richness,Fungi_richness,Mycorrhizal,Endophyte,Saprotroph,Carbon sequestration,Organic matter decomposition,Nutrient cycling,Plant productivity,Pathogen control,Soil biodiversity,Aridity,Warming,Maximum temperature,Extreme events,Seasonality,Human_influence,Salinity,Distance from neutral pH
W34,A_Topsoil,4,2,1,0.470207313,0.386178862,0.560128099,0.067995099,0.185263649,0.146689098,0.312638619,0.383981531,0.7528523,0.806062015,0.713680289,0.395260664,0.351393189,0,0,0.46835443,0.473153481,0.133315949,0.348310075,0.779457157,0.713680289,0.373326926,22.90612138,40.8821537,68.8976378,19.00297227,4.711021966,33.45341431,11.4731685,100
W37,A_Topsoil,1,1,0,0.623522853,0.701219512,0.954456283,0.193872331,0.568836901,0.313385561,0.297885022,0.02416667,0.726026406,1,0.819047619,0.636650869,0.786377709,0.192592593,0.25,0.348101266,0.827837898,0.358698264,0.161025846,0.863013203,0.819047619,0.711514289,0,3.7480615,53.1496063,0,7.352755859,24.91603241,9.4741421,20.56451613
W40,A_Topsoil,4,2,1,0.514042979,0.462511292,0.332220186,0.117825045,0.827466806,0.122000132,0.156211864,0.397407458,0.607097471,0.766150551,0.850809175,0.493522907,0.540247678,0.051851852,0,0.664556962,0.397365739,0.355763994,0.276809661,0.686624011,0.850809175,0.516885292,25.16028879,0,67.3228346,13.24248897,10.27215107,25.86806818,13.824355,95.5645161
W43,A_Topsoil,3,2,0,0.375736183,0.578590786,0.302551914,0.021975239,0.050430269,0.095492675,0.442175589,0.061759267,1,0.884085948,0,0.609162717,0.518575851,0.037037037,0,0.386075949,0.44057135,0.055966061,0.251967428,0.942042974,0,0.563869284,28.5887831,20.2881706,59.4488189,13.47744051,17.382535,21.55660192,3.4356324,73.38709684
W45,A_Topsoil,3,0,0,0.515276797,0.551038844,0.237265605,0.038070226,0.084776786,0.067165372,0.419509093,0.021481484,0.783804326,0.950325437,0.971661427,0.725750395,0.424148607,0.037037037,0,0.132911392,0.394152224,0.063337461,0.220495289,0.867064882,0.971661427,0.574949501,25.1535399,20.481076,49.2125984,25.04061012,14.93967526,23.91600182,15.1501341,2.016129084
W47,A_Topsoil,4,1,0,0.52812911,0.514905149,0.388374388,0.033232079,0.057760336,0.146146448,0.728699923,0.021481484,0.728389079,0.904976552,0.985935499,0.677725118,0.243034056,0,0.25,0.17721519,0.451639769,0.079046287,0.375090704,0.816682816,0.985935499,0.460379587,30.08706216,18.3563314,44.488189,17.4825429,19.74772812,33.0065425,6.2943437,51.20967746
W56,A_Topsoil,6,4,2,0.298752177,0.180668473,0.149670688,0.246651338,0.005749385,0.070580795,0.2112063,0.238981512,0,0,0.630806846,0.431279621,0.89628483,0.007407407,0,0.772151899,0.165169581,0.107660506,0.225093906,0,0.630806846,0.663782225,99.14287649,69.332014,70.8661417,49.84708463,77.19742728,0,0,27.41935484
W59,A_Topsoil,7,4,1,0.38417402,0.219963866,0.459707144,0.114033015,0.360824478,0.025539862,0.108792496,0.045648154,0.277680478,0.759965234,0.882966585,0.38957346,0.249226006,0.014814815,0,0.240506329,0.339835505,0.166799118,0.077220325,0.518822856,0.882966585,0.319399733,96.16656543,62.5318546,47.2440945,56.74517791,66.50037975,18.47082305,45.1044569,49.19354838
W62,A_Topsoil,3,1,0,0.475362347,0.20234869,0.104151141,0.222821567,0.411166998,0.197765556,0.000771391,0.02416667,0.728590158,0.888472268,0.997042729,0.899210111,0.308049536,0.02962963,0.25,0.246835443,0.153249916,0.277251374,0.01246903,0.808531213,0.997042729,0.603629823,18.78247963,20.6292101,71.2598425,20.09283353,7.326514706,33.04129547,8.738749,45.16129032
W65,A_Topsoil,3,3,1,0.406961517,0.199864499,0.103643578,0.099372964,0.250957384,0.325829659,0.050444161,0.002685186,0.460387519,0.662698093,0.937245314,0.36492891,0.713622291,0.007407407,0.25,0.537974684,0.151754038,0.225386669,0.026564673,0.561542806,0.937245314,0.5392756,19.50462302,18.8391863,70.0787402,22.09384644,7.849830806,67.41573887,2.2548603,89.51612907
W74,A_Topsoil,7,4,2,0.358957957,0.230126468,0.158947814,0.136250957,0.186628016,0.192492508,0.119574542,0.198879117,0.201475716,0.483707956,0.799650716,0.142180095,0.829721362,0.125925926,0,0.841772152,0.194537141,0.171790493,0.15922683,0.342591836,0.799650716,0.485950729,91.91469258,96.45679,54.3307087,26.85236266,72.44784431,46.92826668,19.8317918,29.03225809
W77,A_Topsoil,6,5,4,0.365767775,0.351400181,0.145670608,0.02785016,0.088500468,0.01352833,0.148255086,1,0.146133862,0.356383409,0.748771685,0.075197472,0.582043344,0.007407407,0,0.588607595,0.248535394,0.043292986,0.574127543,0.251258635,0.748771685,0.328620408,90.10595941,100,61.8110236,23.56954086,76.7673759,45.99657522,100,16.93548391
W80,A_Topsoil,7,4,3,0.401578603,0.278455285,0.092017966,0.051505048,0.047781951,0.109408577,0.244974083,0.964950961,0.230815092,0.743572122,0.752753522,0.32385466,0.295665635,0,0,0.297468354,0.185236625,0.069565192,0.604962522,0.487193607,0.752753522,0.309760148,92.35337793,94.2487719,48.0314961,42.55870849,77.67806502,42.05821495,57.222907,20.96774197
W83,A_Topsoil,8,4,2,0.258525125,0.155600723,0,0.048763345,0.321391436,0.075938597,0.119068324,0.233928156,0.155548361,0.753476715,0.494655955,0.099210111,0.29876161,0.014814815,0,0.272151899,0.077800361,0.148697792,0.17649824,0.454512538,0.494655955,0.19898586,91.85395153,87.4685661,48.8188976,37.1862882,74.96679784,43.64149915,74.4166054,41.12903226
W86,A_Topsoil,5,3,1,0.388280031,0.216802168,0.083490101,0.126184958,0.249920016,0.153768177,0.155379852,0.041158444,0.309569531,0.501677717,0.945977413,0.455924171,0.650154799,0.088888889,0.5,0.556962025,0.150146134,0.176624384,0.098269148,0.405623624,0.945977413,0.553039485,80.36039686,68.1590641,38.5826772,13.24433876,67.00632072,36.10811073,12.8818089,20.96774197
W89,A_Topsoil,7,2,0,0.423470112,0.403342367,0.06956837,0.079430057,0.166973458,0.173451862,0.111506548,0.038654941,0.400438955,0.683063147,0.924740948,0.700789889,0.544891641,0.022222222,0.25,0.455696203,0.236455368,0.139951793,0.075080745,0.541751051,0.924740948,0.622840765,72.16035636,40.3007678,43.7007874,39.27489045,49.59764697,57.3620777,12.78859,37.0967742
W92,A_Topsoil,4,2,0,0.469228094,0.198735321,0.187689581,0.50038194,0.395894881,0.505088998,0.468148781,0.31904725,0,0.892029835,0.749307253,0.386097946,0.746130031,0.037037037,0,0.658227848,0.193212451,0.46712194,0.393598015,0.446014918,0.749307253,0.566113989,43.76054529,29.1766166,62.2047244,4.777619983,22.3082084,61.26050461,8.4901654,12.90322585
W95,A_Topsoil,4,3,1,0.391798256,0.591463415,0.081286632,0.014228214,0.074723881,0.004648436,0.409495472,0.058682963,0.101056065,0.354665265,0.970567004,0.638546603,0.462848297,0.02962963,0,0.5,0.336375023,0.031200177,0.234089217,0.227860665,0.970567004,0.55069745,82.62131341,65.1594824,0,49.62527558,54.77689909,7.802540525,2.4930863,23.38709678
